"","Group.1","x"
"1",1721,0.505461538461539
"2",1722,0.550363636363636
"3",1723,0.571666666666667
"4",1725,0.55075
"5",1726,0.5945
"6",1727,0.584333333333333
"7",1728,0.5874
"8",1729,0.579833333333333
"9",1730,0.595
"10",1731,0.55625
"11",1732,0.581833333333333
"12",1733,0.527857142857143
"13",1734,0.585272727272727
"14",1735,0.602727272727273
"15",1736,0.560285714285714
"16",1737,0.566916666666667
"17",1738,0.5232
"18",1739,0.5714
"19",1741,0.5775
"20",1743,0.552285714285714
"21",1745,0.579222222222222
"22",1747,0.557111111111111
"23",1748,0.565111111111111
"24",1750,0.581666666666667
"25",1751,0.595833333333333
"26",1752,0.535571428571429
"27",1753,0.588
"28",1755,0.556857142857143
"29",1757,0.596125
"30",1758,0.585142857142857
"31",1759,0.582636363636364
