"","Var1","Freq"
"1","1721",12
"2","1722",11
"3","1723",6
"4","1725",4
"5","1726",4
"6","1727",12
"7","1728",10
"8","1729",7
"9","1730",1
"10","1731",8
"11","1732",13
"12","1733",7
"13","1734",10
"14","1735",11
"15","1736",7
"16","1737",12
"17","1738",10
"18","1739",6
"19","1741",6
"20","1743",8
"21","1745",9
"22","1747",9
"23","1748",9
"24","1750",6
"25","1751",7
"26","1752",7
"27","1753",10
"28","1755",7
"29","1757",8
"30","1758",7
"31","1759",11
