Picture,FragID,Genotype,file,AOI,Tank
1,1757D,1757,1 1757_1726,1,T1
1,1726M,1726,1 1757_1726,2,T1
1,1732A,1732,1 1757_1726,3,T1
1,1745J,1745,1 1757_1726,4,T1
1,1753K,1753,1 1757_1726,5,T1
1,1739C,1739,1 1757_1726,6,T1
1,1727O,1727,1 1757_1726,7,T1
1,1722J,1722,1 1757_1726,8,T1
1,1733E,1733,1 1757_1726,9,T1
2,1745F,1745,2 1745_1752,1,T1
2,1752J,1752,2 1745_1752,2,T1
2,1721J,1721,2 1745_1752,3,T1
2,1732H,1732,2 1745_1752,4,T1
2,1725B,1725,2 1745_1752,5,T1
2,1731G,1731,2 1745_1752,6,T1
2,1721O,1721,2 1745_1752,7,T1
2,1729A,1729,2 1745_1752,8,T1
2,1736E,1736,2 1745_1752,9,T1
2,1737B,1737,2 1745_1752,10,T1
3,1757E,1757,3 1757_1738,1,T1
3,1738E,1738,3 1757_1738,2,T1
3,1748K,1748,3 1757_1738,3,T1
3,1743M,1743,3 1757_1738,4,T1
3,1723O,1723,3 1757_1738,5,T1
3,1737A,1737,3 1757_1738,6,T1
3,1750N,1750,3 1757_1738,7,T1
3,1730G,1730,3 1757_1738,8,T1
3,1722O,1722,3 1757_1738,9,T1
3,1753N,1753,3 1757_1738,10,T1
4,1727N,1727,4 1727_1727,1,T1
4,1727I,1727,4 1727_1727,2,T1
4,1738A,1738,4 1727_1727,3,T1
4,1734J,1734,4 1727_1727,4,T1
4,1747G,1747,4 1727_1727,5,T1
4,1735G,1735,4 1727_1727,6,T1
4,1747O,1747,4 1727_1727,7,T1
4,1737K,1737,4 1727_1727,8,T1
4,1741A,1741,4 1727_1727,9,T1
4,1751B,1751,4 1727_1727,10,T1
5,1759H,1759,5 1759_1758,1,T1
5,1758B,1758,5 1759_1758,2,T1
5,1750H,1750,5 1759_1758,3,T1
5,1735B,1735,5 1759_1758,4,T1
5,1739F,1739,5 1759_1758,5,T1
5,1751D,1751,5 1759_1758,6,T1
5,1741L,1741,5 1759_1758,7,T1
5,1734H,1734,5 1759_1758,8,T1
5,1722I,1722,5 1759_1758,9,T1
6,1753G,1753,6 1753_1728,1,T1
6,1728F,1728,6 1753_1728,2,T1
6,1735D,1735,6 1753_1728,3,T1
6,1736A,1736,6 1753_1728,4,T1
6,1745I,1745,6 1753_1728,5,T1
6,1755D,1755,6 1753_1728,6,T1
6,1748M,1748,6 1753_1728,7,T1
6,1737M,1737,6 1753_1728,8,T1
7,1731A,1731,7 1731_1728,1,T1
7,1728I,1728,7 1731_1728,2,T1
7,1735O,1735,7 1731_1728,3,T1
7,1722C,1722,7 1731_1728,4,T1
7,1732G,1732,7 1731_1728,5,T1
7,1721M,1721,7 1731_1728,6,T1
7,1759L,1759,7 1731_1728,7,T1
8,1753C,1753,8 1753_1738,1,T2
8,1738J,1738,8 1753_1738,2,T2
8,1727K,1727,8 1753_1738,3,T2
8,1753M,1753,8 1753_1738,4,T2
8,1739H,1739,8 1753_1738,5,T2
8,1732M,1732,8 1753_1738,6,T2
8,1734B,1734,8 1753_1738,7,T2
8,1743L,1743,8 1753_1738,8,T2
8,1732C,1732,8 1753_1738,9,T2
8,1721B,1721,8 1753_1738,10,T2
9,1755M,1755,9 1755_1726,1,T2
9,1726E,1726,9 1755_1726,2,T2
9,1758E,1758,9 1755_1726,3,T2
9,1721D,1721,9 1755_1726,4,T2
9,1759E,1759,9 1755_1726,5,T2
9,1732F,1732,9 1755_1726,6,T2
9,1732F,1732,9 1755_1726,7,T2
9,1729O,1729,9 1755_1726,8,T2
9,1745L,1745,9 1755_1726,9,T2
