Picture,FragID,Genotype,file,AOI,Tank
18,1753M,1753,18 1726_1751,5,T2
19,1732F,1732,19 1732_1731,1,T2
19,1731J,1731,19 1732_1731,2,T2
19,1737C,1737,19 1732_1731,3,T2
19,1759D,1759,19 1732_1731,4,T2
19,1747K,1747,19 1732_1731,5,T2
19,1725G,1725,19 1732_1731,6,T2
19,1751K,1751,19 1732_1731,7,T2
19,1731H,1731,19 1732_1731,8,T2
19,1741H,1741,19 1732_1731,9,T2
19,1743E,1743,19 1732_1731,10,T2
20,1759J,1759,20 1759_1745,1,T2
20,1745D,1745,20 1759_1745,2,T2
20,1759E,1759,20 1759_1745,3,T2
20,1752D,1752,20 1759_1745,4,T2
20,1723K,1723,20 1759_1745,5,T2
20,1745N,1745,20 1759_1745,6,T2
20,1735L,1735,20 1759_1745,7,T2
20,1727M,1727,20 1759_1745,8,T2
20,1736N,1736,20 1759_1745,9,T2
20,1737O,1737,20 1759_1745,10,T2
21,1750D,1750,21 1750_1726,1,T2
21,1748H,1748,21 1750_1726,2,T2
21,1732D,1732,21 1750_1726,3,T2
21,1759I,1759,21 1750_1726,4,T2
21,1753F,1753,21 1750_1726,5,T2
22,1722L,1722,22 1722_1753,1,T2
22,1753F,1753,22 1722_1753,2,T2
22,1748B,1748,22 1722_1753,3,T2
22,1729E,1729,22 1722_1753,4,T2
22,1747B,1747,22 1722_1753,5,T2
22,1723E,1723,22 1722_1753,6,T2
22,1748C,1748,22 1722_1753,7,T2
23,1732I,1732,23 1732_1726,1,T3
23,1726G,1726,23 1732_1726,2,T3
23,1757K,1757,23 1732_1726,3,T3
23,1727A,1727,23 1732_1726,4,T3
23,1733I,1733,23 1732_1726,5,T3
24,1748J,1748,23 1732_1726,1,T3
24,1722A,1722,24 1748_1722,2,T3
24,1728A,1728,24 1748_1722,3,T3
24,1729D,1729,24 1748_1722,4,T3
24,1743I,1743,24 1748_1722,5,T3
24,1734E,1734,24 1748_1722,6,T3
24,1731E,1731,24 1748_1722,7,T3
24,1753O,1753,24 1748_1722,8,T3
24,1722K,1722,24 1748_1722,9,T3
24,1737I,1737,24 1748_1722,10,T3
25,1732N,1732,25 1748_1722_2,1,T3
25,1721I,1721,25 1748_1722_2,2,T3
25,1732K,1732,25 1748_1722_2,3,T3
25,1735I,1735,25 1748_1722_2,4,T3
25,1728L,1728,25 1748_1722_2,5,T3
25,1755K,1755,25 1748_1722_2,6,T3
25,1759O,1759,25 1748_1722_2,7,T3
25,1758L,1758,25 1748_1722_2,8,T3
25,1757B,1757,25 1748_1722_2,9,T3
25,1745M,1745,25 1748_1722_2,10,T3
26,1734A,1734,26 1734_1733,1,T3
26,1733C,1733,26 1734_1733,2,T3
26,1733H,1733,26 1734_1733,3,T3
26,1758H,1758,26 1734_1733,4,T3
26,1752N,1752,26 1734_1733,5,T3
27,1726L,1726,27 1726_1727,1,T3
27,1727D,1727,27 1726_1727,2,T3
27,1728O,1728,27 1726_1727,3,T3
