  
Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21
12:00 05/13/2017	-6.2	4.06	5.99	0.8	2.3	4.0	4.43	24.8	7.99	26.2	5.38	24.8	4.57	26.1	6.33	26.1	2.65	26.2	5.23	26.1	6.60	28.3	5.21	41.1	2.15	26.3	6.55	26.6	6.22	26.8	5.81	26.7	6.12	25.9	6.77	26.0
12:10 05/13/2017	-6.2	4.06	5.99	0.8	2.0	4.2	4.42	24.7	7.99	26.2	5.38	24.8	4.57	26.2	6.33	26.1	2.65	26.2	5.23	26.2	6.59	28.3	5.21	41.3	2.15	26.3	6.54	26.5	6.22	26.7	5.81	26.7	6.12	25.9	6.76	26.0
12:20 05/13/2017	-6.2	4.05	5.99	0.7	2.5	4.2	4.42	24.8	7.99	26.2	5.38	24.9	4.57	26.2	6.33	26.1	2.65	26.3	5.23	26.2	6.59	28.3	5.21	41.5	2.15	26.4	6.54	26.5	6.22	26.6	5.80	26.7	6.12	25.9	6.76	26.1
12:30 05/13/2017	-6.2	4.05	5.99	0.8	1.7	3.9	4.42	24.8	7.99	26.2	5.38	24.8	4.57	26.2	6.33	26.1	2.65	26.3	5.23	26.2	6.59	28.3	5.20	41.4	2.15	26.4	6.54	26.4	6.22	26.6	5.80	26.6	6.12	26.0	6.76	26.1
12:40 05/13/2017	-6.2	4.04	5.99	0.8	2.5	3.9	4.42	24.8	7.98	26.2	5.38	24.8	4.56	26.2	6.33	26.2	2.65	26.3	5.23	26.2	6.59	28.3	5.20	41.4	2.15	26.4	6.54	26.3	6.21	26.5	5.80	26.6	6.12	26.0	6.76	26.1
12:50 05/13/2017	-6.2	4.04	5.99	0.8	2.3	3.8	4.42	24.8	7.98	26.2	5.37	24.8	4.56	26.2	6.33	26.2	2.64	26.3	5.23	26.2	6.59	28.3	5.20	41.3	2.15	26.4	6.54	26.3	6.21	26.5	5.80	26.6	6.12	26.0	6.76	26.1
13:00 05/13/2017	-6.2	4.03	5.99	0.8	2.3	4.2	4.41	24.7	7.98	26.2	5.37	24.8	4.56	26.2	6.33	26.2	2.64	26.3	5.23	26.2	6.59	28.3	5.20	42.1	2.15	26.4	6.54	26.3	6.21	26.4	5.80	26.5	6.12	26.0	6.75	26.1
13:10 05/13/2017	-6.2	4.03	5.99	0.8	1.9	4.1	4.41	24.7	7.98	26.3	5.37	24.8	4.56	26.2	6.33	26.2	2.64	26.3	5.23	26.2	6.59	28.3	5.20	42.3	2.15	26.4	6.54	26.2	6.21	26.3	5.80	26.5	6.12	26.0	6.75	26.1
13:20 05/13/2017	-6.2	4.02	6.00	0.9	2.0	4.0	4.41	24.7	7.98	26.3	5.37	24.8	4.56	26.2	6.33	26.2	2.64	26.3	5.23	26.2	6.58	28.3	5.20	41.1	2.15	26.4	6.54	26.1	6.21	26.3	5.80	26.5	6.12	26.0	6.75	26.1
13:30 05/13/2017	-6.2	4.01	6.00	0.9	2.2	3.6	4.41	24.7	7.98	26.3	5.37	24.8	4.55	26.2	6.33	26.2	2.64	26.4	5.23	26.2	6.58	28.3	5.19	41.0	2.15	26.4	6.54	26.1	6.21	26.2	5.79	26.4	6.12	26.0	6.75	26.1
13:40 05/13/2017	-6.2	4.01	6.00	0.8	1.9	4.0	4.41	24.8	7.97	26.3	5.37	24.8	4.55	26.2	6.33	26.2	2.64	26.4	5.23	26.2	6.58	28.4	5.19	40.9	2.15	26.4	6.53	26.1	6.21	26.2	5.79	26.4	6.12	26.0	6.75	26.1
13:50 05/13/2017	-6.2	4.00	6.00	0.8	2.4	4.2	4.40	24.8	7.97	26.3	5.37	25.0	4.55	26.3	6.33	26.2	2.64	26.4	5.23	26.2	6.58	28.4	5.19	41.0	2.15	26.4	6.53	26.0	6.21	26.2	5.79	26.3	6.12	26.0	6.75	26.2
14:00 05/13/2017	-6.2	4.00	6.00	0.8	2.5	3.9	4.40	25.0	7.97	26.3	5.37	25.1	4.54	26.3	6.33	26.3	2.63	26.5	5.23	26.3	6.58	28.4	5.19	41.1	2.15	26.4	6.53	26.0	6.21	26.1	5.79	26.3	6.12	26.1	6.74	26.2
14:10 05/13/2017	-6.2	4.00	6.00	0.7	2.5	3.9	4.40	25.0	7.97	26.4	5.37	24.9	4.54	26.3	6.33	26.2	2.63	26.5	5.23	26.3	6.58	28.4	5.19	40.9	2.15	26.4	6.53	26.0	6.20	26.1	5.79	26.3	6.12	26.1	6.74	26.2
14:20 05/13/2017	-6.2	3.99	6.00	0.8	2.0	4.0	4.40	25.0	7.97	26.4	5.37	24.8	4.54	26.3	6.33	26.3	2.63	26.5	5.24	26.3	6.58	28.5	5.19	41.0	2.15	26.4	6.53	26.0	6.20	26.1	5.79	26.2	6.12	26.1	6.74	26.2
14:30 05/13/2017	-6.2	3.99	6.00	0.8	2.1	4.1	4.40	25.0	7.97	26.4	5.35	24.8	4.54	26.3	6.33	26.3	2.63	26.5	5.24	26.3	6.57	28.5	5.19	41.1	2.15	26.4	6.53	26.2	6.20	26.5	5.79	26.4	6.12	26.1	6.74	26.2
14:40 05/13/2017	-6.2	3.98	6.00	0.8	2.4	4.2	4.40	25.0	7.97	26.4	5.35	24.8	4.54	26.3	6.33	26.3	2.63	26.5	5.24	26.3	6.57	28.5	5.18	41.1	2.15	26.4	6.53	26.4	6.20	26.8	5.79	26.6	6.12	26.1	6.74	26.2
14:50 05/13/2017	-6.2	3.98	6.00	0.8	2.3	3.8	4.39	25.0	7.97	26.5	5.35	24.8	4.54	26.3	6.33	26.3	2.63	26.5	5.24	26.3	6.57	28.5	5.18	40.9	2.15	26.5	6.53	26.7	6.20	27.1	5.78	26.8	6.13	26.1	6.74	26.2
15:00 05/13/2017	-6.2	3.97	6.00	0.8	2.3	4.3	4.39	25.0	7.97	26.5	5.35	24.8	4.54	26.4	6.33	26.3	2.63	26.6	5.24	26.3	6.57	28.5	5.18	40.6	2.15	26.5	6.53	26.7	6.20	27.1	5.78	26.9	6.13	26.1	6.73	26.3
15:10 05/13/2017	-6.2	3.96	6.00	0.8	2.3	3.6	4.39	25.0	7.96	26.5	5.35	24.9	4.53	26.4	6.33	26.3	2.62	26.6	5.24	26.3	6.57	28.6	5.18	40.6	2.15	26.5	6.52	26.6	6.20	27.0	5.78	26.8	6.13	26.1	6.73	26.3
15:20 05/13/2017	-6.2	3.96	6.01	0.8	2.6	4.2	4.39	25.1	7.96	26.5	5.35	24.8	4.53	26.4	6.33	26.3	2.63	26.6	5.24	26.4	6.57	28.6	5.18	40.7	2.15	26.5	6.53	26.5	6.20	26.8	5.78	26.8	6.13	26.2	6.73	26.3
15:30 05/13/2017	-6.2	3.95	6.01	0.9	2.6	3.9	4.39	25.1	7.96	26.5	5.35	24.8	4.53	26.4	6.33	26.3	2.63	26.6	5.24	26.4	6.57	28.6	5.18	40.7	2.15	26.5	6.52	26.5	6.20	26.7	5.78	26.8	6.13	26.2	6.73	26.3
15:40 05/13/2017	-6.2	3.94	6.01	0.9	2.5	3.6	4.38	25.0	7.96	26.5	5.35	24.8	4.53	26.4	6.34	26.3	2.63	26.6	5.24	26.4	6.56	28.6	5.18	40.8	2.15	26.5	6.52	26.4	6.20	26.6	5.78	26.7	6.13	26.2	6.73	26.3
15:50 05/13/2017	-6.2	3.94	6.01	0.9	2.6	4.0	4.38	24.8	7.96	26.5	5.35	24.8	4.53	26.4	6.33	26.3	2.62	26.6	5.24	26.4	6.56	28.6	5.17	41.0	2.15	26.5	6.52	26.3	6.20	26.6	5.77	26.7	6.13	26.2	6.72	26.3
16:00 05/13/2017	-6.2	3.93	6.01	0.8	2.3	4.2	4.38	24.7	7.96	26.5	5.35	24.8	4.53	26.5	6.34	26.3	2.63	26.6	5.24	26.4	6.56	28.6	5.17	41.0	2.15	26.5	6.52	26.2	6.20	26.4	5.77	26.6	6.13	26.2	6.72	26.3
16:10 05/13/2017	-6.2	3.93	6.01	1.0	2.6	4.2	4.38	24.6	7.96	26.4	5.35	24.7	4.53	26.3	6.34	26.3	2.63	26.6	5.24	26.3	6.56	28.6	5.17	41.0	2.15	26.5	6.52	26.2	6.20	26.3	5.77	26.5	6.13	26.2	6.72	26.3
16:20 05/13/2017	-6.2	3.93	6.01	0.7	2.5	3.3	4.38	24.4	7.95	26.4	5.35	24.6	4.53	26.3	6.34	26.2	2.63	26.5	5.25	26.4	6.56	28.6	5.18	40.6	2.15	26.5	6.52	26.1	6.20	26.2	5.77	26.4	6.14	26.1	6.72	26.3
16:30 05/13/2017	-6.2	3.92	6.01	0.9	2.3	4.2	4.38	24.3	7.95	26.3	5.35	24.6	4.53	26.3	6.34	26.2	2.64	26.5	5.25	26.4	6.56	28.6	5.18	40.6	2.15	26.5	6.52	26.0	6.20	26.2	5.77	26.3	6.14	26.1	6.72	26.3
16:40 05/13/2017	-6.2	3.92	6.01	0.9	2.5	3.9	4.38	24.2	7.95	26.3	5.35	24.5	4.53	26.3	6.34	26.2	2.64	26.5	5.25	26.4	6.56	28.6	5.18	42.0	2.15	26.5	6.52	25.9	6.20	26.1	5.77	26.2	6.14	26.1	6.72	26.2
16:50 05/13/2017	-6.2	3.91	6.01	0.9	2.2	3.1	4.38	24.1	7.95	26.3	5.36	24.6	4.55	26.3	6.35	26.1	2.64	26.5	5.25	26.4	6.56	28.6	5.18	40.6	2.15	26.5	6.53	25.8	6.20	26.1	5.77	26.2	6.14	26.1	6.71	26.2
17:00 05/13/2017	-6.2	3.91	6.01	0.8	2.5	4.2	4.38	24.1	7.95	26.3	5.36	24.6	4.55	26.2	6.35	26.1	2.65	26.5	5.25	26.4	6.56	28.6	5.18	41.9	2.15	26.5	6.52	26.0	6.20	26.5	5.77	26.3	6.14	26.1	6.71	26.2
17:10 05/13/2017	-6.2	3.90	6.01	0.9	2.5	4.2	4.38	24.0	7.94	26.3	5.36	24.5	4.55	26.2	6.35	26.1	2.66	26.5	5.25	26.4	6.56	28.6	5.18	42.0	2.15	26.5	6.52	26.3	6.20	26.7	5.77	26.5	6.14	26.1	6.71	26.2
17:20 05/13/2017	-6.2	3.90	6.02	1.0	2.4	4.3	4.37	24.0	7.94	26.2	5.36	24.5	4.55	26.2	6.35	26.0	2.65	26.5	5.25	26.4	6.56	28.6	5.18	40.6	2.15	26.5	6.52	26.5	6.20	27.0	5.77	26.7	6.14	26.1	6.71	26.2
17:30 05/13/2017	-6.2	3.90	6.02	0.9	2.4	4.1	4.37	24.0	7.94	26.2	5.36	24.4	4.54	26.2	6.35	26.0	2.65	26.5	5.26	26.4	6.56	28.6	5.18	40.8	2.15	26.5	6.52	26.6	6.20	27.1	5.77	26.7	6.15	26.1	6.71	26.2
17:40 05/13/2017	-6.2	3.89	6.02	1.0	2.2	3.7	4.37	23.9	7.94	26.2	5.36	24.3	4.54	26.2	6.35	26.0	2.65	26.5	5.26	26.3	6.56	28.6	5.19	40.8	2.15	26.5	6.52	26.5	6.20	26.8	5.77	26.7	6.15	26.1	6.71	26.2
17:50 05/13/2017	-6.2	3.89	6.02	1.0	2.4	3.5	4.37	23.9	7.94	26.2	5.36	24.3	4.54	26.2	6.35	26.0	2.65	26.5	5.26	26.4	6.56	28.6	5.19	40.6	2.15	26.5	6.52	26.4	6.20	26.7	5.77	26.6	6.15	26.1	6.71	26.2
18:00 05/13/2017	-6.2	3.88	6.02	0.9	2.4	3.9	4.37	24.0	7.94	26.2	5.36	24.5	4.54	26.1	6.35	26.0	2.65	26.5	5.26	26.4	6.56	28.6	5.18	40.7	2.15	26.5	6.52	26.3	6.20	26.6	5.76	26.5	6.15	26.0	6.71	26.2
18:10 05/13/2017	-6.2	3.88	6.02	0.9	2.2	4.2	4.37	24.0	7.95	26.2	5.37	24.5	4.54	26.1	6.35	25.9	2.65	26.5	5.26	26.4	6.56	28.5	5.18	41.7	2.15	26.5	6.52	26.2	6.20	26.4	5.76	26.5	6.15	26.1	6.71	26.2
18:20 05/13/2017	-6.2	3.87	6.02	0.9	2.6	3.7	4.36	24.0	7.95	26.2	5.37	24.5	4.54	26.1	6.35	25.9	2.65	26.5	5.26	26.3	6.56	28.3	5.18	41.6	2.15	26.5	6.52	26.2	6.20	26.3	5.76	26.4	6.15	26.1	6.71	26.2
18:30 05/13/2017	-6.2	3.86	6.03	0.7	2.6	3.4	4.36	24.0	7.95	26.2	5.37	24.5	4.54	26.1	6.35	25.9	2.66	26.5	5.26	26.3	6.56	28.3	5.19	41.6	2.15	26.5	6.52	26.1	6.20	26.2	5.76	26.3	6.15	26.1	6.71	26.2
18:40 05/13/2017	-6.2	3.86	6.03	0.9	2.2	4.1	4.36	24.0	7.95	26.2	5.37	24.3	4.54	26.1	6.35	25.8	2.66	26.5	5.26	26.3	6.56	28.4	5.19	41.7	2.15	26.5	6.52	26.0	6.20	26.2	5.76	26.2	6.15	26.1	6.71	26.2
18:50 05/13/2017	-6.2	3.85	6.03	0.8	2.5	4.2	4.36	24.0	7.95	26.2	5.38	24.1	4.54	26.1	6.35	25.8	2.66	26.5	5.26	26.3	6.56	28.4	5.19	41.6	2.15	26.5	6.53	25.8	6.20	26.1	5.76	26.1	6.15	26.1	6.71	26.2
19:00 05/13/2017	-6.2	3.85	6.03	0.9	2.4	3.4	4.35	24.0	7.95	26.2	5.38	24.1	4.53	26.1	6.35	25.8	2.66	26.5	5.27	26.3	6.56	28.3	5.19	41.6	2.15	26.4	6.54	25.9	6.20	26.3	5.76	26.2	6.15	26.0	6.71	26.2
19:10 05/13/2017	-6.2	3.84	6.03	0.7	2.1	4.2	4.35	23.9	7.95	26.2	5.38	24.0	4.53	26.1	6.35	25.8	2.65	26.5	5.27	26.2	6.56	28.3	5.19	40.2	2.15	26.4	6.54	26.1	6.20	26.6	5.76	26.4	6.15	26.0	6.71	26.2
19:20 05/13/2017	-6.2	3.84	6.03	0.8	2.3	4.1	4.35	23.9	7.95	26.2	5.39	24.0	4.53	26.1	6.35	25.8	2.65	26.5	5.27	26.2	6.56	28.3	5.19	40.2	2.15	26.4	6.54	26.4	6.20	26.9	5.76	26.6	6.15	26.0	6.71	26.2
19:30 05/13/2017	-6.2	3.83	6.03	0.9	2.6	3.7	4.35	23.8	7.95	26.2	5.39	24.0	4.53	26.0	6.35	25.8	2.65	26.5	5.27	26.2	6.56	28.3	5.20	40.4	2.15	26.4	6.54	26.6	6.20	27.2	5.76	26.7	6.15	26.0	6.71	26.2
19:40 05/13/2017	-6.2	3.82	6.03	0.8	2.4	4.1	4.35	23.8	7.95	26.2	5.39	24.0	4.52	26.0	6.35	25.8	2.64	26.5	5.27	26.2	6.56	28.3	5.20	40.5	2.15	26.4	6.54	26.6	6.20	27.0	5.76	26.7	6.15	26.0	6.71	26.2
19:50 05/13/2017	-6.2	3.82	6.03	0.8	2.3	4.2	4.35	23.8	7.96	26.2	5.40	24.0	4.52	26.0	6.35	25.8	2.64	26.5	5.27	26.2	6.56	28.3	5.20	40.6	2.15	26.4	6.54	26.5	6.20	26.7	5.76	26.6	6.15	26.0	6.71	26.2
20:00 05/13/2017	-6.2	3.81	6.03	0.8	2.2	3.8	4.34	23.8	7.96	26.2	5.40	24.0	4.52	26.0	6.35	25.8	2.64	26.5	5.27	26.2	6.56	28.3	5.20	41.4	2.15	26.4	6.54	26.3	6.20	26.6	5.76	26.5	6.15	26.0	6.71	26.2
20:10 05/13/2017	-6.2	3.80	6.03	0.8	2.3	4.1	4.34	23.8	7.96	26.2	5.40	23.9	4.52	26.0	6.35	25.8	2.64	26.5	5.27	26.2	6.56	28.3	5.20	41.3	2.15	26.4	6.54	26.2	6.20	26.5	5.76	26.5	6.15	26.0	6.71	26.2
20:20 05/13/2017	-6.2	3.80	6.03	0.9	2.2	4.2	4.34	23.8	7.96	26.2	5.41	23.9	4.52	26.0	6.35	25.8	2.63	26.5	5.27	26.2	6.56	28.3	5.20	41.2	2.15	26.4	6.54	26.1	6.20	26.3	5.76	26.4	6.15	26.0	6.72	26.2
20:30 05/13/2017	-6.2	3.80	6.03	0.9	2.3	3.9	4.34	23.8	7.96	26.2	5.41	23.9	4.52	26.0	6.35	25.8	2.63	26.5	5.27	26.2	6.56	28.3	5.21	41.1	2.15	26.4	6.54	26.1	6.20	26.3	5.75	26.3	6.15	26.0	6.72	26.2
20:40 05/13/2017	-6.2	3.79	6.03	0.8	2.2	4.1	4.34	23.7	7.97	26.2	5.41	23.9	4.51	26.0	6.35	25.8	2.63	26.5	5.28	26.2	6.56	28.3	5.21	41.1	2.15	26.4	6.54	26.0	6.20	26.2	5.75	26.2	6.15	26.0	6.72	26.2
20:50 05/13/2017	-6.2	3.79	6.03	1.0	2.4	4.0	4.34	23.7	7.97	26.2	5.42	23.9	4.51	26.0	6.35	25.7	2.62	26.5	5.28	26.2	6.56	28.3	5.21	41.0	2.15	26.4	6.54	25.9	6.20	26.1	5.75	26.2	6.15	26.0	6.72	26.2
21:00 05/13/2017	-6.2	3.78	6.03	0.9	2.6	3.9	4.34	23.7	7.97	26.2	5.42	23.9	4.51	26.0	6.35	25.7	2.62	26.5	5.28	26.2	6.57	28.3	5.21	41.1	2.15	26.4	6.54	25.9	6.20	26.2	5.75	26.2	6.15	26.0	6.72	26.2
21:10 05/13/2017	-6.2	3.77	6.03	0.8	2.5	4.3	4.33	23.7	7.97	26.2	5.42	23.8	4.51	26.0	6.35	25.7	2.62	26.5	5.28	26.1	6.57	28.3	5.21	41.1	2.15	26.3	6.54	26.1	6.20	26.5	5.75	26.3	6.15	26.0	6.72	26.2
21:20 05/13/2017	-6.2	3.77	6.03	0.9	2.5	3.7	4.33	23.7	7.97	26.2	5.42	23.8	4.51	25.9	6.35	25.7	2.61	26.5	5.28	26.1	6.57	28.3	5.21	40.2	2.15	26.3	6.54	26.3	6.20	26.8	5.75	26.5	6.15	26.0	6.72	26.2
21:30 05/13/2017	-6.2	3.76	6.03	0.9	2.3	4.2	4.33	23.8	7.98	26.2	5.43	23.9	4.50	25.9	6.35	25.7	2.61	26.5	5.28	26.1	6.57	28.3	5.22	40.2	2.15	26.3	6.54	26.5	6.20	27.1	5.75	26.6	6.15	26.0	6.72	26.2
21:40 05/13/2017	-6.2	3.75	6.03	0.9	2.2	4.2	4.33	23.7	7.98	26.2	5.43	23.9	4.50	25.9	6.35	25.7	2.61	26.5	5.28	26.1	6.57	28.3	5.22	40.2	2.15	26.3	6.54	26.6	6.20	27.0	5.75	26.7	6.15	26.0	6.73	26.2
21:50 05/13/2017	-6.2	3.74	6.05	0.9	2.5	3.7	4.33	23.7	7.98	26.2	5.43	23.9	4.50	25.9	6.35	25.7	2.60	26.5	5.28	26.1	6.57	28.3	5.22	40.1	2.15	26.3	6.54	26.5	6.20	26.8	5.75	26.6	6.15	26.0	6.73	26.2
22:00 05/13/2017	-6.2	3.73	6.05	0.8	2.4	4.2	4.32	23.7	7.98	26.2	5.44	23.8	4.50	25.9	6.35	25.7	2.60	26.5	5.28	26.1	6.57	28.3	5.22	40.0	2.15	26.3	6.54	26.4	6.20	26.7	5.75	26.5	6.15	26.0	6.73	26.2
22:10 05/13/2017	-6.2	3.73	6.05	0.9	2.5	4.2	4.32	23.7	7.98	26.2	5.44	23.8	4.50	25.9	6.35	25.7	2.60	26.5	5.28	26.1	6.57	28.3	5.22	40.0	2.15	26.3	6.54	26.3	6.20	26.6	5.75	26.5	6.15	26.0	6.73	26.2
22:20 05/13/2017	-6.2	3.72	6.05	0.9	2.5	3.9	4.32	23.7	7.98	26.2	5.44	23.8	4.50	26.0	6.35	25.9	2.59	26.5	5.28	26.1	6.57	28.2	5.22	40.0	2.15	26.3	6.54	26.2	6.20	26.5	5.75	26.4	6.15	26.0	6.73	26.2
22:30 05/13/2017	-6.2	3.71	6.05	0.9	2.5	3.9	4.32	23.7	7.98	26.2	5.44	23.9	4.49	26.2	6.35	26.2	2.59	26.6	5.28	26.1	6.57	28.2	5.23	40.0	2.15	26.3	6.54	26.1	6.20	26.3	5.75	26.3	6.15	26.0	6.73	26.2
22:40 05/13/2017	-6.2	3.71	6.05	0.8	2.2	2.9	4.32	23.7	7.99	26.2	5.44	24.0	4.49	26.3	6.35	26.6	2.58	26.7	5.28	26.1	6.57	28.2	5.23	40.1	2.15	26.2	6.54	26.0	6.20	26.2	5.75	26.2	6.15	26.0	6.74	26.2
22:50 05/13/2017	-6.2	3.71	6.05	0.9	2.5	4.1	4.32	23.7	7.99	26.2	5.45	24.0	4.49	26.3	6.35	26.6	2.58	26.6	5.28	26.1	6.57	28.2	5.23	41.2	2.15	26.3	6.54	25.9	6.20	26.1	5.74	26.2	6.15	26.0	6.74	26.2
23:00 05/13/2017	-6.2	3.70	6.05	0.9	2.3	4.2	4.31	23.7	7.99	26.2	5.45	24.0	4.49	26.3	6.35	26.5	2.57	26.6	5.28	26.1	6.57	28.2	5.23	40.1	2.15	26.3	6.54	25.9	6.20	26.2	5.74	26.2	6.15	26.0	6.74	26.2
23:10 05/13/2017	-6.2	3.69	6.05	0.9	2.3	3.9	4.31	23.7	7.99	26.2	5.45	24.0	4.49	26.3	6.35	26.4	2.57	26.6	5.28	26.1	6.57	28.2	5.23	40.2	2.15	26.3	6.54	26.1	6.20	26.5	5.74	26.3	6.15	26.0	6.74	26.2
23:20 05/13/2017	-6.2	3.69	6.05	0.7	2.3	3.8	4.31	23.7	7.99	26.2	5.45	24.0	4.48	26.3	6.35	26.3	2.57	26.5	5.29	26.1	6.57	28.2	5.24	40.2	2.15	26.3	6.54	26.3	6.20	26.8	5.74	26.5	6.15	26.0	6.74	26.2
23:30 05/13/2017	-6.2	3.68	6.05	0.8	2.5	3.9	4.31	23.7	7.99	26.2	5.46	24.0	4.48	26.2	6.34	26.2	2.56	26.5	5.29	26.1	6.57	28.2	5.24	40.1	2.15	26.3	6.54	26.5	6.20	27.1	5.74	26.7	6.15	26.0	6.74	26.2
23:40 05/13/2017	-6.2	3.67	6.05	1.0	2.5	4.3	4.31	23.7	7.99	26.2	5.47	24.0	4.48	26.2	6.34	26.2	2.56	26.5	5.29	26.1	6.58	28.2	5.24	40.1	2.15	26.3	6.54	26.6	6.20	27.0	5.74	26.7	6.15	26.0	6.75	26.2
23:50 05/13/2017	-6.2	3.67	6.05	0.8	2.3	3.6	4.31	23.7	8.00	26.2	5.47	23.9	4.48	26.1	6.34	26.1	2.55	26.5	5.29	26.1	6.58	28.2	5.24	42.1	2.15	26.3	6.54	26.5	6.20	26.8	5.74	26.7	6.15	26.0	6.75	26.2
00:00 05/14/2017	-6.2	3.66	6.05	0.9	2.5	3.7	4.31	23.7	8.00	26.2	5.47	23.9	4.48	26.1	6.34	26.1	2.55	26.5	5.29	26.1	6.58	28.2	5.24	42.4	2.15	26.3	6.54	26.4	6.20	26.6	5.74	26.6	6.15	26.0	6.75	26.2
00:10 05/14/2017	-6.2	3.65	6.05	0.9	2.6	3.7	4.30	23.7	8.00	26.1	5.47	23.9	4.48	26.1	6.34	26.0	2.55	26.5	5.29	26.1	6.58	28.2	5.24	42.5	2.15	26.3	6.54	26.2	6.20	26.5	5.74	26.5	6.15	26.0	6.75	26.2
00:20 05/14/2017	-6.2	3.65	6.05	1.0	2.6	4.2	4.30	23.7	8.00	26.1	5.47	23.9	4.47	26.1	6.34	26.0	2.54	26.5	5.29	26.1	6.58	28.2	5.24	42.3	2.15	26.3	6.54	26.1	6.20	26.4	5.74	26.4	6.15	26.0	6.75	26.2
00:30 05/14/2017	-6.2	3.64	6.05	0.9	2.5	4.1	4.30	23.7	8.00	26.1	5.48	23.8	4.47	26.0	6.34	26.0	2.54	26.4	5.29	26.1	6.58	28.2	5.25	42.1	2.15	26.3	6.54	26.1	6.20	26.3	5.74	26.3	6.15	26.0	6.75	26.2
00:40 05/14/2017	-6.2	3.63	6.05	0.9	2.2	4.1	4.30	23.7	8.00	26.1	5.48	23.8	4.47	26.0	6.34	25.8	2.55	26.4	5.29	26.1	6.58	28.2	5.25	42.3	2.15	26.2	6.54	26.0	6.20	26.2	5.74	26.2	6.15	26.0	6.76	26.2
00:50 05/14/2017	-6.2	3.63	6.05	0.9	2.5	4.0	4.30	23.7	8.00	26.1	5.48	23.8	4.47	26.0	6.34	25.8	2.54	26.4	5.29	26.0	6.58	28.2	5.25	42.2	2.15	26.3	6.54	25.9	6.20	26.1	5.74	26.2	6.15	26.0	6.76	26.2
01:00 05/14/2017	-6.2	3.62	6.05	0.9	2.6	3.8	4.30	23.7	8.00	26.1	5.48	23.7	4.47	26.0	6.34	25.8	2.54	26.4	5.29	26.0	6.58	28.2	5.25	42.5	2.15	26.2	6.54	25.8	6.20	26.2	5.74	26.2	6.15	26.0	6.76	26.2
01:10 05/14/2017	-6.2	3.61	6.05	1.0	2.4	3.9	4.29	23.7	8.01	26.1	5.48	23.7	4.47	26.0	6.34	25.8	2.53	26.3	5.29	26.0	6.58	28.2	5.25	42.6	2.15	26.2	6.54	26.1	6.20	26.5	5.74	26.3	6.15	26.0	6.76	26.1
01:20 05/14/2017	-6.2	3.61	6.05	0.9	2.5	3.6	4.29	23.7	8.01	26.1	5.48	23.8	4.46	26.0	6.34	25.7	2.53	26.3	5.29	26.0	6.58	28.2	5.25	42.6	2.15	26.2	6.55	26.3	6.20	26.8	5.74	26.5	6.15	26.0	6.76	26.1
01:30 05/14/2017	-6.2	3.39	6.05	0.9	2.3	3.7	4.29	23.7	8.01	26.1	5.48	23.8	4.46	25.9	6.34	25.7	2.52	26.3	5.29	26.0	6.58	28.2	5.25	42.5	2.15	26.2	6.54	26.5	6.20	27.1	5.74	26.7	6.15	26.0	6.76	26.1
01:40 05/14/2017	-6.2	3.39	6.05	0.9	2.4	3.9	4.29	23.8	8.01	26.1	5.49	23.8	4.46	25.9	6.34	25.7	2.51	26.3	5.29	26.0	6.58	28.2	5.26	42.0	2.15	26.2	6.54	26.6	6.20	27.1	5.73	26.7	6.15	25.9	6.77	26.1
01:50 05/14/2017	-6.2	3.39	6.05	0.8	2.2	4.1	4.29	23.8	8.01	26.1	5.49	23.8	4.45	25.9	6.34	25.7	2.50	26.3	5.30	26.0	6.59	28.2	5.26	41.8	2.15	26.2	6.54	26.5	6.20	26.8	5.73	26.7	6.15	25.9	6.77	26.1
02:00 05/14/2017	-6.2	3.38	6.05	0.9	2.4	3.9	4.29	23.7	8.01	26.1	5.49	23.8	4.45	26.1	6.34	25.8	2.49	26.4	5.30	26.0	6.59	28.2	5.26	41.8	2.15	26.2	6.54	26.3	6.20	26.7	5.73	26.6	6.15	25.9	6.77	26.1
02:10 05/14/2017	-6.2	3.38	6.05	0.8	2.4	3.9	4.28	23.7	8.01	26.1	5.49	23.9	4.45	26.2	6.34	26.2	2.48	26.5	5.30	26.0	6.59	28.2	5.27	41.7	2.15	26.2	6.54	26.2	6.20	26.5	5.73	26.5	6.14	25.9	6.77	26.1
02:20 05/14/2017	-6.2	3.37	6.05	0.9	2.3	3.5	4.28	23.8	8.01	26.1	5.49	24.0	4.45	26.4	6.34	26.6	2.48	26.6	5.30	26.0	6.59	28.2	5.27	41.7	2.15	26.2	6.54	26.2	6.20	26.4	5.73	26.5	6.14	25.9	6.78	26.1
02:30 05/14/2017	-6.2	3.36	6.05	0.9	2.4	4.2	4.28	23.8	8.01	26.0	5.49	24.0	4.45	26.3	6.34	26.5	2.47	26.5	5.30	26.0	6.59	28.2	5.27	41.5	2.15	26.2	6.54	26.1	6.20	26.3	5.73	26.3	6.14	25.9	6.78	26.1
