Picture,FragID,Genotype,file,AOI,Tank
1,1745F,1745,1 1745_1732,1,T1
1,1732G,1732,1 1745_1732,2,T1
1,1753G,1753,1 1745_1732,3,T1
1,1737A,1737,1 1745_1732,4,T1
1,1752J,1752,1 1745_1732,5,T1
1,1726M,1726,1 1745_1732,6,T1
1,1750H,1750,1 1745_1732,7,T1
1,1757D,1757,1 1745_1732,8,T1
1,1728F,1728,1 1745_1732,9,T1
2,1727O,1727,2 1727_1738,1,T1
2,1738E,1738,2 1727_1738,2,T1
2,1741L,1741,2 1727_1738,3,T1
2,1747G,1747,2 1727_1738,4,T1
2,1734D,1734,2 1727_1738,5,T1
2,1736E,1736,2 1727_1738,6,T1
2,1743M,1743,2 1727_1738,7,T1
2,1725B,1725,2 1727_1738,8,T1
3,1748M,1748,3 1748_1753,1,T1
3,1753N,1753,3 1748_1753,2,T1
3,1728I,1728,3 1748_1753,3,T1
3,1747O,1747,3 1748_1753,4,T1
3,1727I,1727,3 1748_1753,5,T1
3,1729A,1729,3 1748_1753,6,T1
3,1758B,1758,3 1748_1753,7,T1
3,1723O,1723,3 1748_1753,8,T1
4,1745I,1745,4 1745_1731,1,T1
4,1731A,1731,4 1745_1731,2,T1
4,1731G,1731,4 1745_1731,3,T1
4,1737M,1737,4 1745_1731,4,T1
4,1737K,1737,4 1745_1731,5,T1
4,1733E,1733,4 1745_1731,6,T1
4,1735B,1735,4 1745_1731,7,T1
4,1736A,1736,4 1745_1731,8,T1
4,1748K,1748,4 1745_1731,9,T1
5,1722C,1722,5 1722_1735,1,T1
5,1735G,1735,5 1722_1735,2,T1
5,1739F,1739,5 1722_1735,3,T1
5,1759L,1759,5 1722_1735,4,T1
5,1722I,1722,5 1722_1735,5,T1
5,1759H,1759,5 1722_1735,6,T1
5,1751D,1751,5 1722_1735,7,T1
5,1729M,1729,5 1722_1735,8,T1
5,1757E,1757,5 1722_1735,9,T1
6,1755D,1755,6 1755_1730,1,T1
6,1730G,1730,6 1755_1730,2,T1
6,1732H,1732,6 1755_1730,3,T1
6,1735D,1735,6 1755_1730,4,T1
6,1722D,1722,6 1755_1730,5,T1
6,1727N,1727,6 1755_1730,6,T1
7,1738A,1738,7 1738_1721,1,T1
7,1721O,1721,7 1738_1721,2,T1
8,1732A,1732,8 1732,1,T1
9,1745L,1745,9 1745_1753,1,T2
9,1753F,1753,9 1745_1753,2,T2
9,1737G,1737,9 1745_1753,3,T2
9,1723M,1723,9 1745_1753,4,T2
9,1753M,1753,9 1745_1753,5,T2
9,1739H,1739,9 1745_1753,6,T2
9,1759I,1759,9 1745_1753,7,T2
9,1758D,1758,9 1745_1753,8,T2
9,1745D,1745,9 1745_1753,9,T2
