Genotype,Frag Count low
1721,1
1727,1
1730,1
1732,1
1735,1
1753,1
1759,1
1723,2
1734,2
1738,2
1747,2
1728,3
1731,3
1739,4
1733,5
1748,5
1750,5
1755,5
1745,6
1757,6
1736,7
1741,7
1743,7
1752,7
1758,7
1726,10
1729,10
1725,11
1751,13
1730,14
1749,15
